root	NCBIroot
superkingdom	Domain_(biology)
kingdom	Kingdom_(biology)
subkingdom	Subkingdom
infrakingdom	Infrakingdom
superphylum	Superphylum
phylum	Phylum
subphylum	Subphylum
infraphylum	Infraphylum
microphylum	Microphylum
superclass	Class_(biology)#superclass
class	Class_(biology)
subclass	Class_(biology)#subclass
infraclass	Class_(biology)#infraclass
parvclass	Class_(biology)#parvclass
legion	Legion_(taxonomy)
cohort	Cohort_(taxonomy)
subcohort	Cohort_(taxonomy)#Subcohort
magnorder	Order_(biology)#magnorder
superorder	Order_(biology)#superorder
order	Order_(biology)
suborder	Order_(biology)#suborder
infraorder	Order_(biology)#infraorder
parvorder	Order_(biology)#parvorder
superfamily	Superfamily_(taxonomy)
family	Family_(biology)
subfamily	Subfamily
supertribe	Supertribe
tribe	Tribe_(biology)
subtribe	Subtribe
genus	Genus
subgenus	Subgenus
species group	Species_complex#group
species subgroup	Species_complex#subgroup
species	Species
subspecies	Subspecies
varietas	Variety_(botany)
forma	Form_(botany)
